a name, a followers, b name, b followers, ab friend
SwatchUS,20234,Swatch® US Official,20234,20222
SwatchUS,20234,Lady Gaga,26126052,6702
SwatchUS,20234,Oprah Winfrey,12259709,6131
SwatchUS,20234,Ellen DeGeneres,11952846,6066
SwatchUS,20234,Katy Perry,21885737,5935
SwatchUS,20234,Barack Obama,16865200,5512
SwatchUS,20234,Taylor Swift,15496824,5000
SwatchUS,20234,Britney Spears,17962764,4948
SwatchUS,20234,Justin Timberlake ,12138894,4936
SwatchUS,20234,YouTube,14006400,4921
SwatchUS,20234,ashton kutcher,11175808,4856
SwatchUS,20234,Rihanna,21258209,4814
SwatchUS,20234,Kim Kardashian,15097447,4801
SwatchUS,20234,CNN Breaking News,7884488,4619
SwatchUS,20234,Twitter,11308866,4447
SwatchUS,20234,Ryan Seacrest,7113542,4344
SwatchUS,20234,Paris Hilton,7757467,4315
SwatchUS,20234,Justin Bieber,23830566,4145
SwatchUS,20234,MTV,4475413,3989
SwatchUS,20234,Jennifer Lopez,8625431,3976
SwatchUS,20234,Tyra Banks,6462703,3965
SwatchUS,20234,TwitPic,7616756,3954
SwatchUS,20234,The New York Times,5407270,3940
SwatchUS,20234,CNN,4949674,3804
SwatchUS,20234,Alicia Keys,8225767,3695
SwatchUS,20234,Perez Hilton,5110167,3693
SwatchUS,20234,P!nk,9225297,3665
SwatchUS,20234,Bruno Mars,10313616,3590
SwatchUS,20234,Conan O'Brien,5931055,3584
SwatchUS,20234,Demi Moore,5224885,3567
SwatchUS,20234,People magazine,3832680,3538
SwatchUS,20234,Nicki Minaj,13157078,3500
SwatchUS,20234,Mariah Carey,7377412,3332
SwatchUS,20234,Kanye West,7817334,3314
SwatchUS,20234,Nicole Richie,3377631,3280
SwatchUS,20234,Jim Carrey,8168045,3269
SwatchUS,20234,Bill Gates,7100815,3241
SwatchUS,20234,UberSocial ,7173091,3232
SwatchUS,20234,E! Online,4612508,3203
SwatchUS,20234,Starbucks Coffee,2606645,3186
SwatchUS,20234,Selena Gomez,11765901,3178
SwatchUS,20234,jimmy fallon,5764989,3107
SwatchUS,20234,Snoop Dogg,9313309,3101
SwatchUS,20234,Coldplay,7338665,3066
SwatchUS,20234,KhloéKardashianOdom,7157806,3057
SwatchUS,20234,Marshall Mathers,11273019,3033
SwatchUS,20234,iamdiddy,5774758,3031
SwatchUS,20234,Chris Brown,10395889,3029
SwatchUS,20234,InStyle,2192695,2980
SwatchUS,20234,Lindsay Lohan,3792781,2975
